date,rainfall_mm,temp_min,temp_max,humidity_pct,pressure_hpa,wind_speed_kmh,wind_dir_deg,cloud_pct,leaf_wetness_h,d_pressure_intraday,pressure_drop_today,cloud_evening,cloud_trend,dewpoint_depression_pm,wind_veer,precip_hours_today,rh_evening_excess
2016-01-15,0.0,0.9,7.9,84.0,1008.6,8.3,334.0,33.0,10.0,1.8999999999999773,1.6625000000000227,25.285714285714285,6.142857142857142,4.814285714285715,153.27899603063202,0.0,-0.2916666666666714
2016-01-16,0.0,0.3,8.6,71.0,1012.9,10.1,36.0,19.0,3.0,2.3999999999999773,2.1708333333333485,4.428571428571429,-10.142857142857142,9.728571428571428,14.567943768899994,0.0,-10.875
2016-01-17,0.0,-2.1,7.2,60.0,1015.4,5.8,352.0,30.0,0.0,-0.5,1.3833333333333258,39.857142857142854,12.714285714285712,11.414285714285715,-32.15750391929964,0.0,-12.666666666666664
2016-01-18,0.0,-3.4,5.5,53.0,1019.4,10.7,44.0,17.0,0.0,-0.39999999999997726,1.4791666666667425,37.714285714285715,37.714285714285715,11.614285714285714,136.44366710232498,0.0,11.583333333333336
2016-01-19,0.0,-2.5,4.4,76.0,1017.6,7.4,45.0,27.0,0.0,0.10000000000002274,0.7999999999999545,16.857142857142858,-27.142857142857142,6.357142857142857,30.79556440151987,0.0,0.6666666666666714
2016-01-20,0.0,-2.8,4.2,78.0,1018.2,5.9,46.0,7.0,0.0,0.0,0.7500000000001137,1.4285714285714286,-11.571428571428571,5.728571428571429,112.33621494482276,0.0,-4.416666666666657
2016-01-21,0.0,-2.5,6.0,76.0,1022.5,7.1,35.0,2.0,0.0,5.100000000000023,3.3708333333332803,4.714285714285714,4.714285714285714,7.271428571428571,8.012610138200245,0.0,4.208333333333329
2016-01-22,0.0,1.2,5.7,73.0,1031.3,13.4,58.0,47.0,0.0,1.7000000000000455,2.7208333333335304,33.57142857142857,-35.42857142857143,6.257142857142857,11.005397051716926,0.0,6.791666666666657
2016-01-23,0.0,0.8,7.0,83.0,1032.7,6.7,55.0,47.0,2.0,-0.10000000000013642,1.050000000000182,8.142857142857142,-73.0,4.7,33.848413794507934,0.0,2.375
2016-01-24,0.0,0.5,5.9,92.0,1034.7,3.7,110.0,44.0,14.0,-1.599999999999909,1.1916666666663787,53.57142857142857,-8.285714285714285,2.1142857142857143,-109.54619737510883,0.0,1.0
2016-01-25,0.0,-0.2,5.8,93.0,1032.0,3.0,98.0,51.0,18.0,-1.900000000000091,1.5750000000000455,12.428571428571429,-69.0,2.5142857142857147,-116.74943754607634,0.0,-2.0416666666666714
2016-01-26,0.0,1.0,6.0,95.0,1029.9,3.3,89.0,58.0,22.0,-1.0,1.2583333333334394,79.0,-8.285714285714292,1.1999999999999997,107.91948680180292,0.0,0.25
2016-01-27,0.0,1.3,7.6,96.0,1029.1,4.2,63.0,63.0,20.0,-0.7000000000000455,1.1375000000000455,83.28571428571429,23.000000000000007,1.6428571428571428,161.61380280026003,0.0,0.5833333333333286
2016-01-28,0.7,3.4,9.5,97.0,1028.4,4.4,83.0,77.0,22.0,-0.2999999999999545,1.050000000000182,56.714285714285715,-35.714285714285715,1.285714285714286,78.00271663296348,2.0,0.875
2016-01-29,0.3,5.2,9.3,97.0,1030.2,4.1,61.0,78.0,22.0,2.199999999999818,1.7666666666661968,57.857142857142854,-37.57142857142858,1.2428571428571427,36.63032283463184,0.0,-0.7083333333333286
2016-01-30,0.3,5.6,9.2,96.0,1027.3,6.1,212.0,92.0,24.0,-6.7000000000000455,7.987500000000182,98.14285714285714,0.0,1.2142857142857142,131.3694629652125,0.0,0.041666666666671404
2016-01-31,0.1,6.5,10.9,92.0,1015.6,10.0,210.0,73.0,17.0,-0.6999999999999318,1.6458333333333712,46.0,-25.85714285714286,2.542857142857143,-43.56856713001176,0.0,3.3333333333333286
